Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2018-01-29,200.11000061035156,200.86000061035156,197.8699951171875,198.22999572753906,1939000,0.0,0.0,ADBE
2018-01-30,197.25,197.72999572753906,194.88999938964844,196.89999389648438,3343300,0.0,0.0,ADBE
2018-01-31,197.1300048828125,200.9600067138672,196.75,199.75999450683597,2747600,0.0,0.0,ADBE
2018-02-01,199.1199951171875,201.75,198.0800018310547,199.3800048828125,2366100,0.0,0.0,ADBE
2018-02-02,197.33000183105472,199.39999389648438,195.44000244140625,195.63999938964844,2813800,0.0,0.0,ADBE
2018-02-05,194.05999755859375,198.4600067138672,188.0,190.27000427246094,3801300,0.0,0.0,ADBE
2018-02-06,186.58999633789062,194.82000732421875,182.10000610351562,194.47000122070312,4480000,0.0,0.0,ADBE
2018-02-07,193.8699951171875,196.24000549316403,192.02000427246094,192.33999633789062,2988000,0.0,0.0,ADBE
2018-02-08,192.83999633789062,192.97000122070312,185.02000427246094,185.16000366210938,3978700,0.0,0.0,ADBE
2018-02-09,187.3300018310547,189.7100067138672,179.33999633789062,187.99000549316406,3818800,0.0,0.0,ADBE
2018-02-12,189.0,192.99000549316406,188.55999755859375,192.14999389648438,2824700,0.0,0.0,ADBE
2018-02-13,190.85000610351562,194.30999755859375,190.38999938964844,193.47999572753906,1961300,0.0,0.0,ADBE
2018-02-14,192.47999572753906,197.5,191.9499969482422,197.1300048828125,2542400,0.0,0.0,ADBE
2018-02-15,198.97000122070315,203.27999877929688,197.1300048828125,202.97000122070312,2233300,0.0,0.0,ADBE
2018-02-16,202.52000427246094,203.89999389648438,200.74000549316406,201.55999755859375,2172600,0.0,0.0,ADBE
2018-02-20,200.4600067138672,205.1199951171875,199.17999267578125,202.9799957275391,2722700,0.0,0.0,ADBE
2018-02-21,204.4499969482422,206.8300018310547,202.02000427246094,202.08999633789062,2043500,0.0,0.0,ADBE
2018-02-22,203.07000732421875,204.22000122070312,201.67999267578125,202.61000061035156,1541500,0.0,0.0,ADBE
2018-02-23,204.22000122070312,209.77999877929688,203.30999755859375,209.74000549316406,2349300,0.0,0.0,ADBE
2018-02-26,211.2899932861328,212.35000610351562,209.25999450683594,212.14999389648438,2418700,0.0,0.0,ADBE
