Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-09,319.43987882365934,323.51967811348425,305.74482100641535,318.7503356933594,8833000,0.0,0.0
2018-02-12,322.3321545501026,333.03920226266814,320.95306823998834,329.25628662109375,6885000,0.0,0.0
2018-02-13,326.04802037777984,333.16370349277037,325.8947853200227,328.64337158203125,4030200,0.0,0.0
2018-02-14,326.90031474817835,332.7326864040947,326.73752261298165,330.2618408203125,4340200,0.0,0.0
2018-02-15,333.7287459938704,341.46692654589356,333.3265003083097,341.3807373046875,5827500,0.0,0.0
2018-02-16,341.50520126717964,344.29210330179313,338.55550709442133,340.0207824707031,5211600,0.0,0.0
2018-02-20,337.1093857593678,342.65446025970897,336.5347616428677,338.40228271484375,4303400,0.0,0.0
2018-02-21,337.6457404505708,345.5467427707625,336.8700080154437,337.4637756347656,5258600,0.0,0.0
2018-02-22,339.64726191752356,342.9225987748257,337.72231067021175,340.8635559082031,3414300,0.0,0.0
2018-02-23,343.0279854045657,343.59302326073066,338.1341666083272,341.5722961425781,3355400,0.0,0.0
2018-02-26,344.29211470572255,348.64962491191574,343.0566772372397,348.103759765625,4148100,0.0,0.0
2018-02-27,349.1764056081692,354.24263198894414,347.9313817099176,349.2147216796875,4774100,0.0,0.0
2018-02-28,351.28330816629443,355.88027209078456,346.8874816894531,346.8874816894531,5472900,0.0,0.0
2018-03-01,347.0024022580743,347.3950616044135,331.7462933758272,334.8971252441406,8978000,0.0,0.0
2018-03-02,327.3600651807951,331.4494217189894,321.1158607076919,330.0895080566406,10021300,0.0,0.0
2018-03-05,323.70163437527685,339.76220494385973,322.37042131757033,337.8276672363281,8140200,0.0,0.0
2018-03-06,339.2546250518674,340.18359244544644,331.3823534028916,334.1596984863281,4888300,0.0,0.0
2018-03-07,327.0726854817964,333.6712321747197,325.1381479654025,332.35919189453125,4575700,0.0,0.0
2018-03-08,334.724785912969,337.58829142960406,329.3999913706756,333.977783203125,4319900,0.0,0.0
2018-03-09,337.7319075652246,339.87716914082773,335.41429673673207,339.5227966308594,3538300,0.0,0.0
2018-03-12,340.1740464533161,340.2027761993504,328.73913990610504,329.6297912597656,6088800,0.0,0.0
2018-03-13,330.7119410386738,333.16364306491033,323.32807599191443,324.34326171875,5443800,0.0,0.0
2018-03-14,325.41594634899275,326.11504661410004,308.6658021083392,316.2890930175781,13057900,0.0,0.0
2018-03-15,318.2427396356848,318.8365363973479,309.2499789233309,316.0209045410156,8766000,0.0,0.0
2018-03-16,315.86764558992365,316.8348997288202,311.85489264348996,316.4901428222656,9329000,0.0,0.0
2018-03-19,313.5979139475551,319.2291481092957,312.95624405773543,317.7255859375,6328900,0.0,0.0
2018-03-20,317.80221541527925,325.3297301331515,316.99775332490924,323.3472900390625,6500500,0.0,0.0
2018-03-21,322.8110224485291,327.44627367982235,320.9914034998158,322.8397521972656,4056300,0.0,0.0
2018-03-22,316.14538906853704,318.6066777343701,305.51497418868956,306.0895690917969,7282200,0.0,0.0
2018-03-23,306.60675840439256,317.1318707011083,304.85418535568795,307.4208068847656,7237500,0.0,0.0
2018-03-26,316.49978203075375,317.89801176307515,309.9012342761987,315.05364990234375,5392900,0.0,0.0
2018-03-27,317.4861615251012,320.7135959391348,305.50536195908563,307.5356750488281,5355500,0.0,0.0
2018-03-28,308.23484096294567,309.56602483553087,298.0066421701015,306.48223876953125,5634700,0.0,0.0
2018-03-29,309.7001281836515,316.49978421421014,308.37850135871537,314.009765625,3652100,0.0,0.0
2018-04-02,311.4431191607066,315.98259421596964,303.752812356263,308.79986572265625,5024900,0.0,0.0
2018-04-03,311.0217360226895,317.0935324511085,309.42236892127204,316.82537841796875,4783100,0.0,0.0
2018-04-04,299.08877080675234,313.94266109597237,298.68655442100675,313.58831787109375,8235700,0.0,0.0
2018-04-05,316.60512347777734,324.6210446095137,316.2890962518616,322.1693420410156,6220000,0.0,0.0
2018-04-06,316.6242390607029,320.4358842191495,308.57958888850465,312.3241882324219,5713600,0.0,0.0
2018-04-09,318.1948552454451,320.713603245389,308.4263333260529,308.8381652832031,4931700,0.0,0.0
2018-04-10,317.33297341217747,322.44707295857546,315.60910091433374,320.6657409667969,5552000,0.0,0.0
2018-04-11,317.57240537204393,323.2898589692579,312.50617887286506,313.5117492675781,4573500,0.0,0.0
2018-04-12,317.9363395087982,324.03686623699,316.4806210023987,323.20367431640625,4325000,0.0,0.0
2018-04-13,324.64975629662143,325.3010125884297,312.7839034853882,315.35052490234375,4733500,0.0,0.0
2018-04-16,318.281062839223,319.12384099560387,313.7703175097268,317.73516845703125,3901400,0.0,0.0
2018-04-17,320.57002183878365,325.36806534921107,319.53569240696106,322.475830078125,3381800,0.0,0.0
2018-04-18,324.01764294640583,327.9154771092263,322.91629714044655,326.57470703125,3117500,0.0,0.0
2018-04-19,325.7990355256345,327.9251246269607,323.2228275398554,326.2300109863281,3006800,0.0,0.0
2018-04-20,326.3161152363217,326.9577558710402,320.8763739656779,324.34326171875,3038000,0.0,0.0
2018-04-23,325.1860297370377,326.8237127764794,321.78621681548833,324.5060729980469,2765600,0.0,0.0
2018-04-24,328.65295394332315,332.9625912510024,309.60434301461356,315.13983154296875,7051800,0.0,0.0
2018-04-25,323.8165431042373,330.3193146836075,316.5380392016255,328.35601806640625,11023600,0.0,0.0
2018-04-26,329.4574543638515,331.02806272294595,324.01771153983674,328.2890625,5273600,0.0,0.0
2018-04-27,326.81418216866746,328.41354941436913,323.48138526189877,326.4598388671875,3390400,0.0,0.0
2018-04-30,326.7375847021789,328.0879121096509,319.29625834051393,319.4494934082031,3721600,0.0,0.0
2018-05-01,318.4342623287391,319.78461864761016,310.4662160284164,315.5994873046875,4313100,0.0,0.0
2018-05-02,315.5612304385423,316.7200358782527,310.2747523652144,310.4758605957031,3436100,0.0,0.0
2018-05-03,309.30744367625056,318.55880147213594,305.62989019911674,316.70086669921875,6383200,0.0,0.0
2018-05-04,314.1629841615877,321.68091270361623,314.1629841615877,320.28265380859375,3655100,0.0,0.0
2018-05-07,321.04886143697814,328.4710151660429,321.02968878684635,326.02886962890625,4192200,0.0,0.0
2018-05-08,325.39673935856274,327.47495496494656,322.37041295758644,324.05596923828125,4014100,0.0,0.0
2018-05-09,325.12859421360736,332.25386330637275,324.25708630497473,329.9266662597656,4347000,0.0,0.0
2018-05-10,331.08164646789476,335.48979682693107,329.5609494400933,331.1586608886719,3920400,1.71,0.0
2018-05-11,330.86984803328943,332.4579544549653,328.25191622043235,329.6090087890625,2332200,0.0,0.0
2018-05-14,331.0912316981099,334.6908769691509,330.9853736006751,331.6590881347656,2520300,0.0,0.0
2018-05-15,330.1288122442819,330.9469215893373,327.49164104417946,329.2818298339844,3009100,0.0,0.0
2018-05-16,329.1663355233039,330.66779365133783,327.5301168433818,328.17498779296875,2230100,0.0,0.0
2018-05-17,327.6937487739445,331.83237806436097,327.4820031737783,331.2260437011719,2483300,0.0,0.0
2018-05-18,332.631190662522,338.83913351907285,332.23657259569654,338.0499267578125,4327700,0.0,0.0
2018-05-21,345.0086611122645,351.3032536624321,344.99905633881804,350.2637939453125,6785400,0.0,0.0
2018-05-22,350.34072461843357,351.15883383336694,341.2164556120025,341.69769287109375,5389400,0.0,0.0
2018-05-23,339.06055721498313,346.1058784673041,338.4253204424892,345.7304992675781,4497500,0.0,0.0
2018-05-24,344.9990015958688,347.12606204941113,341.07208912675384,345.5283508300781,3932100,0.0,0.0
2018-05-25,344.6814079450457,347.06835558868966,343.65155304710134,346.5774841308594,2463700,0.0,0.0
2018-05-29,344.28683697183766,347.4245140776372,337.5014016865164,339.25311279296875,4249600,0.0,0.0
2018-05-30,342.3040855887956,345.4513963288819,340.8122617078696,344.748779296875,2825200,0.0,0.0
2018-05-31,343.43980842144845,343.43980842144845,338.42532383623256,338.945068359375,4406300,0.0,0.0
2018-06-01,342.43885949393854,344.7102855396462,341.1587517775465,343.3339538574219,2657800,0.0,0.0
2018-06-04,345.49948634041584,349.7536367254255,345.3839940953518,347.1934509277344,2950300,0.0,0.0
2018-06-05,346.9721116714522,349.73440922012713,345.3840343718456,346.5871276855469,2567800,0.0,0.0
2018-06-06,348.85851079270884,357.65554211767545,347.4436720551719,357.6170349121094,4488400,0.0,0.0
2018-06-07,358.0405632962131,360.4275109589167,352.3138274837808,354.7007751464844,4517800,0.0,0.0
2018-06-08,354.32538711853294,357.4823023979886,351.74593305842336,355.63433837890625,3292900,0.0,0.0
2018-06-11,357.07807083230705,359.320623690231,354.96061499755166,357.02032470703125,2468500,0.0,0.0
2018-06-12,357.3090708773314,358.74317804378245,354.18102834177864,356.71234130859375,2440400,0.0,0.0
2018-06-13,356.76049536746115,357.0780990816042,349.65742767266966,350.1964111328125,3867600,0.0,0.0
2018-06-14,352.4100799312606,353.8441871033162,345.3647585896614,348.820068359375,4039500,0.0,0.0
2018-06-15,344.71029703985226,348.0885925292865,340.2059226355373,344.450439453125,9946000,0.0,0.0
2018-06-18,339.93639880819,344.2290272050147,339.1471626042646,341.42822265625,3363200,0.0,0.0
2018-06-19,334.1423560399542,334.1423560399542,325.8650677078937,328.3193664550781,6857300,0.0,0.0
2018-06-20,333.0162023056538,333.9594379613903,327.68408494620076,329.8304138183594,4540000,0.0,0.0
2018-06-21,328.3481931039969,328.3481931039969,323.58396161430505,324.9891662597656,4048300,0.0,0.0
2018-06-22,327.6551808632127,328.14605224820554,323.96891652094445,326.1922302246094,3192000,0.0,0.0
2018-06-25,320.0420506228941,321.3221583182531,315.3066919328298,318.7716064453125,5006200,0.0,0.0
2018-06-26,319.91698216573786,321.8515363548311,318.07865194948926,318.86785888671875,3112400,0.0,0.0
2018-06-27,322.2846051293321,328.6080698973993,317.3856132524745,317.443359375,4578900,0.0,0.0
2018-06-28,317.6166313645202,324.8736983781498,315.0083333130397,322.0921325683594,3348000,0.0,0.0
2018-06-29,324.5367804400427,327.24133144721225,322.77543564871445,322.9198303222656,3108500,0.0,0.0
2018-07-02,318.2807220972024,323.7090634698895,316.9621366185097,323.46844482421875,2820700,0.0,0.0
2018-07-03,325.489636905179,326.9429828776823,319.5415512239389,320.4366455078125,1464400,0.0,0.0
2018-07-05,323.53579652680963,324.6233974087912,316.7503630669928,320.67724609375,2427900,0.0,0.0
2018-07-06,320.35004759936703,323.4877242460528,318.04974854124157,322.08251953125,2105100,0.0,0.0
2018-07-09,324.83517433674564,330.1672917930916,323.88233389119046,329.0893249511719,3128700,0.0,0.0
2018-07-10,329.91704692193554,334.9411655805394,329.91704692193554,334.1326904296875,3278300,0.0,0.0
2018-07-11,328.90641801185546,331.4666036797095,326.4617245832084,327.8188171386719,3056900,0.0,0.0
