Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-30,115.1983998770046,115.9606702031268,114.84902315046727,114.97606658935547,1732560,0.0,0.0
2018-01-31,114.34083383829639,116.246514402268,114.11850056204933,114.658447265625,2884738,0.0,0.0
2018-02-01,114.84903343506971,115.89715401574662,114.21380649095185,114.4996566772461,1946944,0.0,0.0
2018-02-02,114.34083319184118,114.97606004290697,112.33987248810098,112.68923950195312,2333707,0.0,0.0
2018-02-05,112.18107090096021,112.91157793594618,111.48231745574434,112.4351577758789,2537672,0.0,0.0
2018-02-06,108.75086309767288,110.91064076570497,108.43324958997361,109.57666015625,2288683,0.0,0.0
2018-02-07,110.91060633763924,111.67287658094008,109.98951969699235,110.9423599243164,3300468,0.0,0.0
2018-02-08,111.03767682903218,111.64114051487805,109.73545959570515,109.86250305175781,2350380,0.0,0.0
2018-02-09,108.56027252778182,109.25902598971705,107.09925842285155,107.09925842285156,3272581,0.0,0.0
2018-02-12,107.86153553399008,110.87886347614732,107.73449208551064,110.68829345703125,1671025,0.0,0.0
2018-02-13,110.91062182950733,112.1493123594891,110.05306162801584,111.9269790649414,2286467,0.0,0.0
2018-02-14,113.48328900507828,113.64209574014991,109.67192736335885,110.52948760986328,1439437,0.0,0.0
2018-02-15,110.81536352331044,111.1647403601444,109.8942861845999,110.05309295654297,1329608,0.0,0.0
2018-02-16,110.91061591593903,113.32447027938815,110.75180919767038,112.30811309814453,1557633,0.0,0.0
2018-02-19,113.0068641135924,113.0068641135924,111.70465669424115,112.05402374267578,834817,0.0,0.0
2018-02-20,111.79994024433428,112.62573719606141,111.5458533481692,112.1175537109375,1070147,0.0,0.0
2018-02-21,111.99050402118974,114.05499143904879,111.83169729673904,113.92794799804688,1579285,0.0,0.0
2018-02-22,112.46691591975562,113.07037948970961,111.83168906868984,112.68923950195312,1370960,0.0,0.0
2018-02-23,113.48329604168562,114.4678997987396,112.68926231709281,114.37261962890625,1260567,0.0,0.0
2018-02-26,114.94430391893466,115.16663720776855,113.67385013769683,113.83265686035156,961657,0.0,0.0
2018-02-27,113.86441087700817,114.91253128411475,112.62572047966613,113.41975402832031,1709524,0.0,0.0
2018-02-28,113.16567147164452,113.89618824242069,112.5304445541662,113.292724609375,2158006,0.0,0.0
2018-03-01,112.72103336615643,113.26098021317593,111.45057931932955,112.65751647949219,2285305,0.0,0.0
2018-03-02,112.5622023294952,113.41976250323698,110.84709167480469,110.84709167480469,1621682,0.0,0.0
2018-03-05,110.97414015005272,113.51504781092534,110.75181654540248,113.03862762451172,1233049,0.0,0.0
2018-03-06,113.73737149892048,115.1666319374059,113.73737149892048,114.78549194335938,1551920,0.0,0.0
2018-03-07,114.2138008130308,114.62669442906363,113.41976717235734,113.45153045654297,1303700,0.0,0.0
2018-03-08,113.4197728108045,114.62670012751089,113.16567621748099,114.4996566772461,1148322,0.0,0.0
2018-03-09,114.15025920520553,114.97605602126475,113.80088251078136,114.4678726196289,1084715,0.0,0.0
2018-03-12,114.62671535407235,114.69024193404033,113.51506805419922,113.51506805419922,1009913,0.0,0.0
2018-03-13,113.80089059394777,114.97606418790261,113.03862028374677,114.02322387695312,1669526,0.0,0.0
2018-03-14,114.72198162030035,115.48425195910505,113.70561470669861,113.92794799804688,1542798,0.0,0.0
2018-03-15,114.62671443639677,114.62671443639677,112.37165656472001,112.65751647949219,1371898,0.0,0.0
2018-03-16,113.07036590576173,113.29269915404129,112.56218254740227,113.07036590576172,2035364,0.0,0.0
2018-03-19,113.16569336085843,113.16569336085843,111.26001223981476,111.48234558105469,1383937,0.0,0.0
2018-03-20,110.59301260565508,111.4823264322708,109.95778567441707,110.11659240722656,1445220,0.0,0.0
2018-03-21,111.79994128219134,112.11755475174303,110.59301397501251,111.25999450683594,1900803,0.0,0.0
2018-03-22,110.84708676044603,111.22822675249871,109.38606304796758,109.6401596069336,1492414,0.0,0.0
2018-03-23,109.22726239546682,111.29174979927946,108.81436879182156,110.97413635253906,1291110,0.0,0.0
2018-03-26,111.35526277407259,112.24457643928163,110.52946597478305,110.65650939941406,1309021,0.0,0.0
2018-03-27,111.99050739789647,112.14931412713547,111.1964737517015,111.60936737060547,1231468,0.0,0.0
2018-03-28,110.4659505704836,112.43515777587889,109.5766368154752,112.4351577758789,1430562,0.0,0.0
2018-04-03,111.76816192306097,114.97605944275716,111.32350506819444,114.53140258789062,2574118,0.0,0.0
2018-04-04,114.97607456020542,115.10311800790105,112.21283353205536,113.54681396484375,1946891,0.0,0.0
2018-04-05,114.3408240804354,115.54775112416773,113.3879838797651,115.42070770263672,1377357,0.0,0.0
2018-04-06,115.35719975733639,116.0241801951411,115.10310320183662,115.51600646972656,1182353,0.0,0.0
2018-04-09,115.89715222130373,115.89715222130373,114.15027815202654,114.81726837158203,1809524,0.0,0.0
2018-04-10,115.35722783620889,116.27830505371094,114.43614092591197,116.27830505371094,1882133,0.0,0.0
2018-04-11,115.7065797190461,116.02419317937046,113.86442552628226,114.56317901611328,1965999,0.0,0.0
2018-04-12,114.43612008120547,114.43612008120547,110.49771531123453,111.13294219970703,2257909,0.0,0.0
2018-04-13,110.40246155102236,111.60938905056517,110.30717167929292,111.48234558105469,1590574,0.0,0.0
2018-04-16,111.3552845707946,111.64113475536477,109.8307340984305,110.52948760986328,1156128,0.0,0.0
2018-04-17,109.16373817447786,109.92600845679124,108.71907162473525,109.54486846923828,1509896,0.0,0.0
2018-04-18,109.57663304399392,110.72004332735935,109.03668633738472,109.6401596069336,1569836,0.0,0.0
2018-04-19,110.14834171836063,110.94237535154603,109.64016794735667,110.21186828613281,1390372,0.0,0.0
2018-04-20,110.18010186699827,111.32351220480741,109.89425170574427,111.13294219970703,1947721,0.0,0.0
2018-04-23,111.67291354867044,114.53143517691561,111.29177345445298,113.51506805419922,2215893,0.0,0.0
2018-04-24,115.2936883262726,115.2936883262726,108.2109119012527,108.71908569335938,5332430,0.0,0.0
2018-04-25,108.62379325286311,113.1656614328102,108.46498653758114,112.33987426757812,4060676,0.0,0.0
2018-04-26,112.81630490100194,114.43612579322487,111.99050796620983,112.87982177734375,2443075,0.0,0.0
2018-04-27,113.19744076565401,114.2455710508139,112.65750367280867,112.91159057617188,1110991,0.0,0.0
