rewards,steps,epsilon,time
-866.0,200,1.0,0.001287
-821.0,200,1.0,0.001296
-857.0,200,1.0,0.001288
-695.0,200,1.0,0.001283
-740.0,200,1.0,0.001284
-812.0,200,1.0,0.001277
-758.0,200,1.0,0.001288
-875.0,200,1.0,0.001283
-461.0,140,1.0,0.00091
-731.0,200,1.0,0.001296
-812.0,200,1.0,0.001289
-785.0,200,1.0,0.001285
-731.0,200,1.0,0.001281
-749.0,200,1.0,0.001289
-695.0,200,1.0,0.001282
-401.0,116,1.0,0.000754
-812.0,200,1.0,0.001282
-202.0,61,1.0,0.000401
-740.0,200,1.0,0.001285
-632.0,200,1.0,0.001287
-722.0,200,1.0,0.001282
-920.0,200,1.0,0.001285
-740.0,200,1.0,0.001297
-767.0,200,1.0,0.001281
-606.0,168,1.0,0.001085
-785.0,200,1.0,0.001286
-857.0,200,1.0,0.001284
-767.0,200,1.0,0.001286
-192.0,51,1.0,0.000335
-794.0,200,1.0,0.001289
-641.0,200,1.0,0.001288
-776.0,200,1.0,0.001289
-992.0,200,1.0,0.001276
-749.0,200,1.0,0.001289
-875.0,200,1.0,0.001282
-740.0,200,1.0,0.001285
-749.0,200,1.0,0.001286
-875.0,200,1.0,0.001286
-803.0,200,1.0,0.001275
-884.0,200,1.0,0.001287
-920.0,200,1.0,0.001283
-821.0,200,1.0,0.001285
-731.0,200,1.0,0.001278
-740.0,200,1.0,0.001293
-857.0,200,1.0,0.001279
-785.0,200,1.0,0.001285
-650.0,200,1.0,0.001291
-839.0,200,1.0,0.0013
-830.0,200,1.0,0.001294
-839.0,200,1.0,0.00129
-812.0,200,1.0,0.001299
-911.0,200,1.0,0.001283
-731.0,200,1.0,0.001284
-749.0,200,1.0,0.001289
-758.0,200,1.0,0.001289
-731.0,200,1.0,0.001286
-857.0,200,1.0,0.001281
-758.0,200,1.0,0.001296
-447.0,126,1.0,0.000815
-659.0,200,1.0,0.001337
-785.0,200,1.0,0.001567
-785.0,200,1.0,0.001564
-803.0,200,1.0,0.001565
-794.0,200,1.0,0.001568
-731.0,200,1.0,0.00156
-722.0,200,1.0,0.001556
-713.0,200,1.0,0.001564
-776.0,200,1.0,0.00156
-839.0,200,1.0,0.00156
-767.0,200,1.0,0.001564
-767.0,200,1.0,0.001567
-776.0,200,1.0,0.001574
-794.0,200,1.0,0.001562
-704.0,200,1.0,0.001566
-794.0,200,1.0,0.001554
-812.0,200,1.0,0.001559
-821.0,200,1.0,0.001564
-785.0,200,1.0,0.001564
-767.0,200,1.0,0.001565
-695.0,200,1.0,0.001569
-758.0,200,1.0,0.001558
-758.0,200,1.0,0.001564
-722.0,200,1.0,0.00156
-830.0,200,1.0,0.001572
-726.0,189,1.0,0.001487
-722.0,200,1.0,0.00156
-776.0,200,1.0,0.001568
-830.0,200,1.0,0.001567
-758.0,200,1.0,0.001565
-866.0,200,1.0,0.001566
-866.0,200,1.0,0.001562
-749.0,200,1.0,0.001568
-749.0,200,1.0,0.001591
-740.0,200,1.0,0.001557
-704.0,200,1.0,0.001556
-821.0,200,1.0,0.001566
-731.0,200,1.0,0.001558
-704.0,200,1.0,0.001559
-767.0,200,1.0,0.001565
-713.0,200,1.0,0.001553
-641.0,200,1.0,0.001564
-749.0,200,1.0,0.001563
-812.0,200,1.0,0.001564
-803.0,200,1.0,0.001566
-704.0,200,1.0,0.001555
-866.0,200,1.0,0.001564
-812.0,200,1.0,0.001556
-857.0,200,1.0,0.001564
-857.0,200,1.0,0.001553
-812.0,200,1.0,0.001556
-679.0,196,1.0,0.001529
-803.0,200,1.0,0.001565
-695.0,200,1.0,0.001577
-713.0,200,1.0,0.001554
-857.0,200,1.0,0.001561
-866.0,200,1.0,0.001557
-785.0,200,1.0,0.001558
-731.0,200,1.0,0.001552
-713.0,200,1.0,0.00156
-830.0,200,1.0,0.001556
-794.0,200,1.0,0.00157
-785.0,200,1.0,0.001563
-767.0,200,1.0,0.001559
-722.0,200,1.0,0.001561
-866.0,200,1.0,0.001555
-911.0,200,1.0,0.001561
-929.0,200,1.0,0.001557
-794.0,200,1.0,0.001559
-623.0,200,1.0,0.001558
-776.0,200,1.0,0.001557
-731.0,200,1.0,0.001557
-776.0,200,1.0,0.001553
-821.0,200,1.0,0.001568
-830.0,200,1.0,0.001561
-740.0,200,1.0,0.001564
-695.0,200,1.0,0.00156
-785.0,200,1.0,0.001564
-749.0,200,1.0,0.001564
-785.0,200,1.0,0.001556
-794.0,200,1.0,0.00156
-749.0,200,1.0,0.001564
-911.0,200,1.0,0.001564
-758.0,200,1.0,0.001554
-830.0,200,1.0,0.001558
-314.0,101,1.0,0.000794
-668.0,200,1.0,0.001555
-614.0,200,1.0,0.001554
-821.0,200,1.0,0.001558
-767.0,200,1.0,0.001549
-731.0,200,1.0,0.001567
-839.0,200,1.0,0.001555
-731.0,200,1.0,0.001568
-875.0,200,1.0,0.001564
-722.0,200,1.0,0.001577
-740.0,200,1.0,0.001554
-821.0,200,1.0,0.001559
-830.0,200,1.0,0.001554
-884.0,200,1.0,0.001567
-776.0,200,1.0,0.001565
-803.0,200,1.0,0.001552
-794.0,200,1.0,0.001556
-812.0,200,1.0,0.001564
-587.0,200,1.0,0.001556
-794.0,200,1.0,0.001557
-731.0,200,1.0,0.001556
-830.0,200,1.0,0.001564
-884.0,200,1.0,0.001549
-758.0,200,1.0,0.001565
-848.0,200,1.0,0.001555
-839.0,200,1.0,0.00156
-740.0,200,1.0,0.001555
-803.0,200,1.0,0.001419
-767.0,200,1.0,0.001465
-749.0,200,1.0,0.001536
-731.0,200,1.0,0.001591
-812.0,200,1.0,0.00154
-785.0,200,1.0,0.001535
-722.0,200,1.0,0.00153
-704.0,200,1.0,0.001589
-866.0,200,1.0,0.001506
-758.0,200,1.0,0.001577
-758.0,200,1.0,0.001594
-794.0,200,1.0,0.001579
-758.0,200,1.0,0.001587
-677.0,200,1.0,0.001603
-965.0,200,1.0,0.001575
-830.0,200,1.0,0.001585
-659.0,200,1.0,0.001576
-866.0,200,1.0,0.00158
-767.0,200,1.0,0.001573
-839.0,200,1.0,0.001576
-830.0,200,1.0,0.001598
-740.0,200,1.0,0.001571
-875.0,200,1.0,0.001587
-758.0,200,1.0,0.001567
-821.0,200,1.0,0.001585
-722.0,200,1.0,0.001583
-758.0,200,1.0,0.001572
-839.0,200,1.0,0.001712
-695.0,200,1.0,0.001588
-686.0,200,1.0,0.00159
-794.0,200,1.0,0.001615
-785.0,200,1.0,0.001581
-776.0,200,1.0,0.001591
-785.0,200,1.0,0.001581
-767.0,200,1.0,0.001573
-758.0,200,1.0,0.001589
-707.0,197,1.0,0.00155
-794.0,200,1.0,0.001566
-767.0,200,1.0,0.001564
-758.0,200,1.0,0.001584
-722.0,200,1.0,0.001579
-767.0,200,1.0,0.001564
-839.0,200,1.0,0.001554
-794.0,200,1.0,0.00154
-767.0,200,1.0,0.001533
-821.0,200,1.0,0.001527
-740.0,200,1.0,0.001504
-704.0,200,1.0,0.001506
-731.0,200,1.0,0.001515
-740.0,200,1.0,0.001521
-713.0,200,1.0,0.001504
-857.0,200,1.0,0.001569
-758.0,200,1.0,0.001566
-803.0,200,1.0,0.001559
-749.0,200,1.0,0.001599
-785.0,200,1.0,0.001614
-731.0,200,1.0,0.001614
-767.0,200,1.0,0.00158
-722.0,200,1.0,0.001586
-767.0,200,1.0,0.001597
-740.0,200,1.0,0.001556
-668.0,200,1.0,0.001568
-884.0,200,1.0,0.001548
-767.0,200,1.0,0.001545
-812.0,200,1.0,0.001607
-812.0,200,1.0,0.001556
-893.0,200,1.0,0.001532
-812.0,200,1.0,0.00155
-767.0,200,1.0,0.001565
-821.0,200,1.0,0.001554
-776.0,200,1.0,0.001547
-866.0,200,1.0,0.001547
-396.0,102,1.0,0.000793
-686.0,200,1.0,0.001546
-749.0,200,1.0,0.001541
-133.0,46,1.0,0.000359
-803.0,200,1.0,0.001542
-794.0,200,1.0,0.001547
-668.0,200,1.0,0.001536
-722.0,200,1.0,0.001551
-776.0,200,1.0,0.001543
-821.0,200,1.0,0.001543
-749.0,200,1.0,0.001535
-767.0,200,1.0,0.001545
-803.0,200,1.0,0.001535
-749.0,200,1.0,0.001545
-749.0,200,1.0,0.001565
-803.0,200,1.0,0.001547
-767.0,200,1.0,0.001542
-920.0,200,1.0,0.001544
-920.0,200,1.0,0.001547
-857.0,200,1.0,0.001532
-929.0,200,1.0,0.001528
-749.0,200,1.0,0.001556
-794.0,200,1.0,0.001527
-758.0,200,1.0,0.001547
-839.0,200,1.0,0.001532
-767.0,200,1.0,0.001544
-821.0,200,1.0,0.001539
-965.0,200,1.0,0.00154
-830.0,200,1.0,0.001534
-794.0,200,1.0,0.001543
-812.0,200,1.0,0.001537
-731.0,200,1.0,0.00154
-740.0,200,1.0,0.001542
-749.0,200,1.0,0.001543
-785.0,200,1.0,0.001535
-875.0,200,1.0,0.001546
-629.0,173,1.0,0.001333
-659.0,200,1.0,0.001551
-812.0,200,1.0,0.001541
-812.0,200,1.0,0.001529
-875.0,200,1.0,0.001535
-839.0,200,1.0,0.00154
-902.0,200,1.0,0.001542
-659.0,200,1.0,0.001534
-812.0,200,1.0,0.001529
-731.0,200,1.0,0.001281
-767.0,200,1.0,0.001245
-758.0,200,1.0,0.001247
-767.0,200,1.0,0.001234
-731.0,200,1.0,0.001245
-794.0,200,1.0,0.001236
-866.0,200,1.0,0.001218
-767.0,200,1.0,0.001217
-812.0,200,1.0,0.001216
-758.0,200,1.0,0.001219
-785.0,200,1.0,0.001219
-875.0,200,1.0,0.001209
-758.0,200,1.0,0.001237
-848.0,200,1.0,0.001236
-794.0,200,1.0,0.00122
-821.0,200,1.0,0.001218
-659.0,200,1.0,0.001226
-794.0,200,1.0,0.001232
-821.0,200,1.0,0.001242
-875.0,200,1.0,0.001219
-803.0,200,1.0,0.001227
-848.0,200,1.0,0.001209
-749.0,200,1.0,0.001214
-758.0,200,1.0,0.001217
-794.0,200,1.0,0.001215
-589.0,151,1.0,0.000922
-749.0,200,1.0,0.00122
-677.0,200,1.0,0.00121
-875.0,200,1.0,0.001218
-686.0,200,1.0,0.001212
-839.0,200,1.0,0.001214
-731.0,200,1.0,0.001211
-785.0,200,1.0,0.001224
-660.0,186,1.0,0.001137
-812.0,200,1.0,0.001212
-893.0,200,1.0,0.001208
-857.0,200,1.0,0.001216
-965.0,200,1.0,0.001206
-821.0,200,1.0,0.001211
-749.0,200,1.0,0.001209
-749.0,200,1.0,0.001224
-776.0,200,1.0,0.001221
-776.0,200,1.0,0.001225
-381.0,114,1.0,0.000704
-821.0,200,1.0,0.001224
-929.0,200,1.0,0.001222
-677.0,200,1.0,0.001214
-776.0,200,1.0,0.00122
-884.0,200,1.0,0.001216
-893.0,200,1.0,0.001211
-803.0,200,1.0,0.00122
-772.0,199,1.0,0.001203
-731.0,200,1.0,0.001217
-848.0,200,1.0,0.001206
-785.0,200,1.0,0.001207
-740.0,200,1.0,0.001217
-902.0,200,1.0,0.00123
-749.0,200,1.0,0.001233
-830.0,200,1.0,0.001237
-758.0,200,1.0,0.00122
-616.0,169,1.0,0.001042
-812.0,200,1.0,0.001226
-839.0,200,1.0,0.001226
-812.0,200,1.0,0.001216
-794.0,200,1.0,0.001226
-704.0,200,1.0,0.001227
-758.0,200,1.0,0.001237
-803.0,200,1.0,0.001273
-749.0,200,1.0,0.001228
-794.0,200,1.0,0.001209
-758.0,200,1.0,0.001231
-767.0,200,1.0,0.001228
-803.0,200,1.0,0.001228
-749.0,200,1.0,0.001213
-749.0,200,1.0,0.001218
-839.0,200,1.0,0.001215
-767.0,200,1.0,0.00123
-776.0,200,1.0,0.001219
-812.0,200,1.0,0.001214
-857.0,200,1.0,0.001238
-794.0,200,1.0,0.001225
-749.0,200,1.0,0.001225
-830.0,200,1.0,0.00122
-785.0,200,1.0,0.001232
-52.0,28,1.0,0.000178
-803.0,200,1.0,0.001223
-767.0,200,1.0,0.001226
-749.0,200,1.0,0.001217
-785.0,200,1.0,0.001219
-830.0,200,1.0,0.001216
-830.0,200,1.0,0.001213
-704.0,200,1.0,0.001216
-884.0,200,1.0,0.001233
-758.0,200,1.0,0.001217
-686.0,200,1.0,0.001231
-686.0,200,1.0,0.001209
-803.0,200,1.0,0.001214
-794.0,200,1.0,0.001218
-839.0,200,1.0,0.001228
-812.0,200,1.0,0.001207
-767.0,200,1.0,0.001224
-812.0,200,1.0,0.001219
-713.0,200,1.0,0.001214
-821.0,200,1.0,0.001217
-776.0,200,1.0,0.001226
-785.0,200,1.0,0.001209
-812.0,200,1.0,0.001229
-821.0,200,1.0,0.001217
-803.0,200,1.0,0.001224
-830.0,200,1.0,0.001207
-722.0,200,1.0,0.001222
-848.0,200,1.0,0.001224
-785.0,200,1.0,0.00123
-803.0,200,1.0,0.001222
-794.0,200,1.0,0.001217
-839.0,200,1.0,0.001228
-704.0,200,1.0,0.001213
-767.0,200,1.0,0.001213
-740.0,200,1.0,0.001226
-656.0,191,1.0,0.001172
-812.0,200,1.0,0.001232
-713.0,200,1.0,0.001228
-704.0,200,1.0,0.00123
-456.0,117,1.0,0.000714
-722.0,200,1.0,0.001226
-794.0,200,1.0,0.001239
-875.0,200,1.0,0.001233
-731.0,200,1.0,0.00122
-785.0,200,1.0,0.00123
-848.0,200,1.0,0.00123
-812.0,200,1.0,0.00125
-740.0,200,1.0,0.00123
-677.0,200,1.0,0.001239
-803.0,200,1.0,0.001234
-875.0,200,1.0,0.001279
-785.0,200,1.0,0.001234
-668.0,200,1.0,0.001239
-767.0,200,1.0,0.001235
-866.0,200,1.0,0.001231
-830.0,200,1.0,0.001235
-839.0,200,1.0,0.001226
-830.0,200,1.0,0.00124
-821.0,200,1.0,0.001234
-794.0,200,1.0,0.001235
-758.0,200,1.0,0.001233
-722.0,200,1.0,0.001245
-821.0,200,1.0,0.001247
-713.0,200,1.0,0.001236
-713.0,200,1.0,0.001231
-803.0,200,1.0,0.001242
-875.0,200,1.0,0.001235
-821.0,200,1.0,0.001229
-731.0,200,1.0,0.001226
-839.0,200,1.0,0.001236
-758.0,200,1.0,0.00124
-929.0,200,1.0,0.00123
-893.0,200,1.0,0.001233
-803.0,200,1.0,0.001242
-749.0,200,1.0,0.001237
-731.0,200,1.0,0.001223
-830.0,200,1.0,0.001233
-848.0,200,1.0,0.001231
-767.0,200,1.0,0.00124
-749.0,200,1.0,0.001237
-803.0,200,1.0,0.001229
-830.0,200,1.0,0.001486
-884.0,200,1.0,0.001487
-821.0,200,1.0,0.001478
-929.0,200,1.0,0.00147
-857.0,200,1.0,0.001482
-794.0,200,1.0,0.001486
-848.0,200,1.0,0.001493
-767.0,200,1.0,0.00149
-767.0,200,1.0,0.001492
-884.0,200,1.0,0.001481
-601.0,163,1.0,0.001217
-740.0,200,1.0,0.001498
-875.0,200,1.0,0.00148
-785.0,200,1.0,0.001486
-794.0,200,1.0,0.001475
-731.0,200,1.0,0.001483
-767.0,200,1.0,0.001482
-776.0,200,1.0,0.001483
-785.0,200,1.0,0.001475
-740.0,200,1.0,0.001484
-794.0,200,1.0,0.001485
-740.0,200,1.0,0.001482
-875.0,200,1.0,0.001479
-875.0,200,1.0,0.00148
-830.0,200,1.0,0.001472
-785.0,200,1.0,0.001483
-758.0,200,1.0,0.001466
-767.0,200,1.0,0.001468
-713.0,200,1.0,0.001482
-893.0,200,1.0,0.001479
-821.0,200,1.0,0.001467
-722.0,200,1.0,0.001481
-812.0,200,1.0,0.001465
-794.0,200,1.0,0.001466
-438.0,117,1.0,0.000868
