epsilon_decay,learning_rate,discount_factor,score_min,score_avg,score_max,step_min,step_avg,step_max,time_min,time_avg,time_max
0.9959556689360072,0.7540305777894423,0.9161000720667094,-857.0,-39.9712,15.0,6,28.612,200,4.9e-05,0.00023305879999999996,0.001963
0.9952324306621493,0.2134989967312012,0.75831887464227,-884.0,-68.5772,15.0,6,49.2524,200,5e-05,0.0003776136,0.001678
0.9972160809479418,0.2936083708407414,0.7810781683985972,-956.0,-76.1588,15.0,6,43.7576,200,5e-05,0.00034573800000000006,0.002042
0.99810568245272,0.7469906396666656,0.49766507387625475,-866.0,-67.9948,15.0,6,35.512,200,5.1e-05,0.00028374720000000006,0.001987
0.9969779334982324,0.683851387367975,0.42630133456830843,-893.0,-52.6796,15.0,6,32.6384,200,5e-05,0.00026022360000000006,0.001769
0.9959705100179532,0.5620916132114195,0.9076355838918939,-875.0,-44.5996,15.0,6,31.0576,200,4.8e-05,0.00024013239999999997,0.001759
0.995402320492063,0.7395315188711935,0.8009169196448567,-893.0,-36.7876,15.0,6,28.0108,200,4.9e-05,0.0002203652,0.001748
0.9950742444444456,0.5095915557956933,0.26692688428502015,-911.0,-50.0908,15.0,6,36.7108,200,4.9e-05,0.0002884824,0.001729
0.9951058413046421,0.5653850688593975,0.4401615477090115,-875.0,-43.348,15.0,6,32.3608,200,5e-05,0.00025608320000000006,0.001781
0.9987713844903028,0.4591498992241506,0.6674780665191207,-884.0,-102.328,15.0,6,44.7652,200,5e-05,0.0003572664,0.001734
0.9964707943569677,0.8886140404852055,0.9673319268646274,-884.0,-41.6044,15.0,6,28.234,200,5e-05,0.000221894,0.001674
0.9959360153163378,0.8895225926749966,0.8315321623653767,-875.0,-38.8048,15.0,6,27.6736,200,5e-05,0.000218242,0.001986
0.9959833846309102,0.8976030884899701,0.7801061075842173,-866.0,-37.4612,15.0,6,27.4676,200,5e-05,0.00021631559999999998,0.001706
0.9957133850188802,0.7868331598999638,0.6551998362446033,-893.0,-38.6568,15.0,6,28.4592,200,5e-05,0.0002220748,0.001722
0.9966316442924826,0.6618980291980581,0.5617038204471855,-893.0,-49.5996,15.0,6,31.7016,200,5e-05,0.0002467412,0.001739
0.9975070898994646,0.8974753174526306,0.7236710105700396,-902.0,-51.8232,15.0,6,30.72,200,5e-05,0.00024191359999999995,0.001708
0.9954936526270963,0.3880242150163732,0.8534685468652249,-884.0,-49.5668,15.0,6,35.4116,200,5e-05,0.00027765440000000004,0.001737
0.9963297508859457,0.1069554770528296,0.596573109840138,-947.0,-121.0872,15.0,6,83.8776,200,5e-05,0.0006451644,0.001755
0.9955266865856582,0.8117903713522566,0.6998427269445021,-902.0,-37.3044,15.0,6,27.8604,200,4.9e-05,0.00022049519999999996,0.001755
0.9955474986337111,0.6474393180789236,0.22955160355746052,-866.0,-47.2864,15.0,6,33.4924,200,5.2e-05,0.0002677472,0.001742
0.996797369623167,0.8163254888800303,0.677507373005439,-893.0,-46.262,15.0,6,29.8376,200,5.1e-05,0.00023641200000000003,0.001777
0.9960770437239018,0.8183511867267252,0.8206386285936415,-839.0,-39.0968,15.0,6,28.0832,200,5e-05,0.0002219744,0.00176
0.9954508148326754,0.7144245276479907,0.7269552346731372,-902.0,-37.802,15.0,6,28.526,200,5e-05,0.0002256332,0.001706
0.9962425431078265,0.8360325871062844,0.584895489813394,-875.0,-41.7656,15.0,6,28.8812,200,4.9e-05,0.0002313496,0.001701
0.9956843965935873,0.6390592855221185,0.8596818148238108,-857.0,-39.9464,15.0,6,29.4656,200,5e-05,0.00023019879999999998,0.001707
0.9950051353202972,0.8343905680345403,0.7813521378809346,-884.0,-33.3036,15.0,6,26.7984,200,5e-05,0.0002108416,0.001676
0.9950332915040793,0.7517653325269783,0.9389947297944377,-902.0,-34.8448,15.0,6,27.5404,200,4.9e-05,0.0002199436,0.001703
0.9950744865306576,0.5907654559093505,0.9789185460082644,-830.0,-38.0748,15.0,6,29.4732,200,5e-05,0.0002338172,0.001755
0.9952806567039063,0.7188332335442208,0.9040740783578165,-857.0,-36.446,15.0,6,28.046,200,4.9e-05,0.0002195132,0.0017
0.9975164795885757,0.7533233348368052,0.9110552411517039,-902.0,-53.5404,15.0,6,31.5168,200,5.4e-05,0.0002670872,0.002199
0.9950039362900072,0.6949362604144498,0.9400435664155266,-866.0,-35.9888,15.0,6,28.1036,200,5.4e-05,0.00024248279999999997,0.001857
0.9950254520407431,0.7102889104910635,0.9187808603688522,-866.0,-35.8784,15.0,6,27.956,200,5.4e-05,0.00024093080000000001,0.001849
0.9950235319450937,0.6227558549008577,0.9891313059838597,-884.0,-37.5568,15.0,6,28.9372,200,5.4e-05,0.0002505656,0.001922
0.995230979198984,0.6901782809472351,0.9423307357616679,-875.0,-36.6552,15.0,6,28.3464,200,5.5e-05,0.00024676840000000005,0.001909
0.995767825448254,0.7606454566015655,0.8753210570211173,-893.0,-38.302,15.0,6,28.1296,200,5.3e-05,0.00024452400000000003,0.002025
0.995332758679777,0.8467371040800551,0.9339201071169181,-857.0,-35.0056,15.0,6,27.0016,200,5.3e-05,0.0002353856,0.002116
0.9952515983757358,0.8396267201655632,0.7615966579101145,-929.0,-33.6916,15.0,6,27.0688,200,5.3e-05,0.0002336944,0.001878
0.9953417294274602,0.7875644339180689,0.7555504569796043,-893.0,-35.6652,15.0,6,27.7272,200,4.8e-05,0.00022877719999999998,0.002574
0.9958059789874786,0.8537814760682539,0.796342627922966,-902.0,-37.7368,15.0,6,27.6952,200,4.9e-05,0.000214278,0.001734
0.9981003926184492,0.8522894716204915,0.8823622616628044,-947.0,-62.9948,15.0,6,33.284,200,5e-05,0.0002611712,0.001736
0.9952661784507755,0.766972655887158,0.6368625660700952,-911.0,-36.3184,15.0,6,27.8956,200,5e-05,0.0002174652,0.001807
0.9954034436341505,0.8060070420659584,0.7729172379583654,-893.0,-36.2964,15.0,6,27.6048,200,5e-05,0.00021439079999999996,0.001754
0.9952214032114841,0.8635588281188862,0.34207230751526974,-929.0,-36.9424,15.0,6,28.1548,200,5e-05,0.00021894559999999997,0.001753
0.9956139448144716,0.7911124572759621,0.7401341695180829,-884.0,-37.4276,15.0,6,28.0736,200,5e-05,0.00022322200000000003,0.001762
0.995325300872185,0.8517963587609851,0.5132703123578333,-902.0,-36.7144,15.0,6,27.6496,200,4.9e-05,0.00021635880000000002,0.001709
0.9961597777702037,0.3684108070457876,0.8175222435410657,-875.0,-56.246,15.0,6,37.2452,200,5.1e-05,0.0002900096,0.001664
0.9958773213414688,0.7545005227757766,0.764172893121177,-875.0,-40.3028,15.0,6,28.8368,200,4.9e-05,0.00022454679999999998,0.001751
0.9952076046994125,0.4894938815754097,0.8406370912657515,-857.0,-42.3624,15.0,6,31.8084,200,5.1e-05,0.00025354800000000003,0.001757
0.9953923978314947,0.7770226180310753,0.953018609423714,-947.0,-34.7888,15.0,6,27.4376,200,5e-05,0.00021578679999999996,0.001695
0.9956756172842735,0.8655721683276608,0.9359753862197375,-983.0,-36.956,15.0,6,27.3788,200,5.1e-05,0.00021863520000000002,0.001746
0.9988260558376651,0.21778238361369168,0.9592936051441999,-920.0,-132.0856,15.0,6,56.6368,200,5e-05,0.0004423852,0.001716
0.9953965674647374,0.7806714508782601,0.8854335737345965,-875.0,-36.0356,15.0,6,27.6956,200,4.9e-05,0.00021613759999999997,0.001733
0.99516988156648,0.8210445205163103,0.6906631601936652,-956.0,-34.7376,15.0,6,27.39,200,5e-05,0.00021847919999999998,0.001753
