rewards,steps,epsilon,time
-767.0,200,0.9950031450310504,0.001553
-839.0,200,0.9900312586216814,0.001391
-749.0,200,0.9850842160076222,0.001415
-704.0,200,0.9801618930480307,0.001385
-749.0,200,0.9752641662223785,0.001374
-812.0,200,0.9703909126273518,0.001372
-740.0,200,0.9655420099737663,0.001416
-839.0,200,0.9607173365834992,0.001357
-740.0,200,0.9559167713864359,0.001357
-623.0,167,0.9511401939174313,0.001152
-758.0,200,0.9463874843132872,0.00138
-758.0,200,0.9416585233097446,0.001383
-776.0,200,0.9369531922384906,0.001377
-803.0,200,0.9322713730241805,0.00139
-695.0,200,0.9276129481814751,0.001403
-722.0,200,0.9229778008120925,0.001384
-785.0,200,0.9183658146018744,0.001379
-731.0,200,0.9137768738178675,0.00141
-659.0,200,0.9092108633054194,0.001383
-668.0,200,0.9046676684852888,0.001405
-686.0,200,0.90014717535077,0.001416
-659.0,200,0.8956492704648326,0.001396
-749.0,200,0.8911738409572743,0.00139
-749.0,200,0.8867207745218889,0.001396
-749.0,200,0.8822899594136483,0.001403
-704.0,200,0.8778812844458979,0.001436
-632.0,200,0.8734946389875665,0.001427
-794.0,200,0.8691299129603907,0.00138
-632.0,200,0.8647869968361518,0.001373
-758.0,200,0.8604657816339281,0.001372
-857.0,200,0.8561661589173595,0.001378
-839.0,200,0.8518880207919267,0.001379
-731.0,200,0.8476312599022439,0.001386
-785.0,200,0.8433957694293643,0.001368
-686.0,200,0.8391814430881002,0.001413
-740.0,200,0.8349881751243551,0.00137
-605.0,200,0.8308158603124708,0.001358
-695.0,200,0.8266643939525863,0.001373
-695.0,200,0.8225336718680105,0.001357
-641.0,200,0.8184235904026085,0.001381
-722.0,200,0.8143340464181996,0.001379
-713.0,200,0.81026493729197,0.001368
-785.0,200,0.806216160913897,0.001359
-731.0,200,0.802187615684187,0.001375
-749.0,200,0.7981792005107256,0.001377
-587.0,200,0.7941908148065413,0.001358
-632.0,200,0.7902223584872811,0.001363
-596.0,200,0.7862737319686988,0.001405
-616.0,196,0.7823448361641564,0.001362
-722.0,200,0.7784355724821375,0.001365
-713.0,200,0.7745458428237729,0.001413
-578.0,200,0.7706755495803796,0.001367
-119.0,50,0.7668245956310109,0.000349
-659.0,200,0.7629928843400193,0.001372
-605.0,200,0.7591803195546317,0.00138
-767.0,200,0.7553868056025363,0.001366
-686.0,200,0.7516122472894823,0.001394
-686.0,200,0.7478565498968904,0.001422
-713.0,200,0.7441196191794767,0.001384
-659.0,200,0.7404013613628868,0.001362
-686.0,200,0.7367016831413435,0.001364
-632.0,200,0.7330204916753051,0.00136
-274.0,106,0.7293576945891355,0.000736
-650.0,200,0.7257131999687861,0.001365
-695.0,200,0.7220869163594897,0.001356
-73.0,40,0.7184787527634653,0.000286
-677.0,200,0.7148886186376344,0.00138
-740.0,200,0.7113164238913494,0.001362
-605.0,200,0.7077620788841325,0.001353
-686.0,200,0.7042254944234262,0.001359
-252.0,93,0.7007065817623555,0.000646
-623.0,200,0.6972052525975005,0.001365
-497.0,200,0.6937214190666809,0.001366
-370.0,139,0.6902549937467508,0.000953
-632.0,200,0.6868058896514051,0.001403
-467.0,164,0.6833740202289966,0.001125
-207.0,93,0.6799592993603643,0.000645
-596.0,200,0.6765616413566719,0.001379
-596.0,200,0.673180960957258,0.001378
-542.0,200,0.6698171733274965,0.00135
-560.0,200,0.6664701940566672,0.001378
-605.0,200,0.6631399391558384,0.001378
-299.0,95,0.6598263250557586,0.000652
-533.0,200,0.6565292686047599,0.001386
-614.0,200,0.6532486870666714,0.001381
-560.0,200,0.6499844981187425,0.001416
-542.0,200,0.6467366198495776,0.001429
-533.0,200,0.6435049707570806,0.00136
-515.0,200,0.6402894697464092,0.001375
-506.0,200,0.6370900361279407,0.001365
-494.0,164,0.6339065896152465,0.001129
-452.0,158,0.6307390503230776,0.001132
-560.0,200,0.6275873387653602,0.001371
-587.0,200,0.6244513758532007,0.001383
-578.0,200,0.6213310828929012,0.001354
-569.0,200,0.6182263815839849,0.001372
-632.0,200,0.6151371940172312,0.001372
-533.0,200,0.6120634426727205,0.00137
-587.0,200,0.6090050504178889,0.001365
-551.0,200,0.6059619405055928,0.001492
-366.0,144,0.6029340365721831,0.000999
-533.0,200,0.5999212626355885,0.001354
-430.0,172,0.5969235430934093,0.00118
-605.0,200,0.59394080272102,0.001343
-506.0,200,0.5909729666696816,0.001424
-551.0,200,0.5880199604646633,0.001355
-506.0,200,0.585081710003374,0.001366
-12.0,24,0.582158141553502,0.000171
-641.0,200,0.5792491817511659,0.001374
-497.0,200,0.5763547575990726,0.001377
-542.0,200,0.5734747964646859,0.001372
-393.0,135,0.5706092260784039,0.000917
-533.0,200,0.5677579745317456,0.001361
-166.0,88,0.5649209702755459,0.000599
-641.0,200,0.5620981421181607,0.001363
-560.0,200,0.5592894192236801,0.001371
-569.0,200,0.5564947311101514,0.00137
-91.0,49,0.5537140076478093,0.000346
-479.0,200,0.5509471790573174,0.001356
-337.0,142,0.548194175908016,0.00097
-258.0,117,0.5454549291161808,0.000798
-96.0,45,0.5427293699432885,0.000308
-228.0,105,0.5400174299942925,0.000727
-460.0,157,0.5373190412159061,0.001069
-569.0,200,0.5346341358948952,0.001358
-488.0,200,0.5319626466563787,0.001354
-452.0,200,0.5293045064621382,0.001361
-542.0,200,0.5266596486089354,0.001405
-560.0,200,0.5240280067268386,0.001356
-326.0,140,0.5214095147775568,0.000961
-434.0,200,0.518804107052783,0.001358
-560.0,200,0.5162117181725449,0.001362
-101.0,50,0.5136322830835643,0.000344
-479.0,200,0.5110657370576253,0.001372
-310.0,160,0.508512015689949,0.001157
-527.0,197,0.5059710548975781,0.001342
-50.0,35,0.5034427909177684,0.000247
