epsilon_decay,learning_rate,discount_factor,score_min,score_avg,score_max,step_min,step_avg,step_max,time_min,time_avg,time_max
0.8707877694700387,0.3382101922154922,0.4022966663830848,-785.0,-41.42666666666667,15.0,6,54.440666666666665,200,4.5e-05,0.00036875266666666666,0.00154
0.8879150305436894,0.4155834689421898,0.312990893683032,-785.0,-36.519333333333336,15.0,6,49.50333333333333,200,4.6e-05,0.0003356306666666667,0.00144
0.8429781367194455,0.4264056043764005,0.32838160670983224,-785.0,-34.510666666666665,15.0,6,47.79666666666667,200,4.5e-05,0.000330916,0.001547
0.8074636862786104,0.39901420953727573,0.19103941541997033,-812.0,-44.716,15.0,6,57.576,200,4.5e-05,0.0003910646666666667,0.00155
0.8351255059505182,0.5504089829545875,0.3763223811009325,-749.0,-23.950666666666667,15.0,6,37.84866666666667,200,4.5e-05,0.00025847866666666667,0.001541
0.8379549077698498,0.4732001861909416,0.34789699765374316,-767.0,-29.516,15.0,6,43.364,200,4.5e-05,0.00029726266666666666,0.00153
0.9657305758224894,0.2169880943774551,0.9006163852584106,-776.0,-61.06,15.0,6,61.12,200,4.6e-05,0.00041492733333333337,0.001544
0.8519081146408218,0.6231329063294121,0.5084021169324593,-758.0,-18.97533333333333,15.0,6,33.239333333333335,200,4.5e-05,0.00023456066666666667,0.001589
0.80878383057602,0.7003413488362195,0.7268778176779924,-848.0,-15.177333333333333,15.0,6,29.747333333333334,200,4.6e-05,0.00020490133333333333,0.001523
0.9099435199712615,0.20489188599210156,0.555432788917591,-911.0,-63.86,15.0,6,72.362,200,4.5e-05,0.0004875193333333333,0.001536
0.9239370674889016,0.7583533183901086,0.8301127464862927,-785.0,-15.984,15.0,6,28.718,200,4.6e-05,0.0002051153333333333,0.001536
0.9361061328335112,0.7898510630379868,0.8309663872640116,-776.0,-16.566,15.0,6,28.444,200,4.7e-05,0.00020487533333333338,0.001612
0.9868771696003498,0.7589108263479167,0.735130021286043,-875.0,-36.512,15.0,6,32.322,200,4.6e-05,0.00022640666666666665,0.001563
0.9423883895725135,0.6600502686733866,0.7182993997907998,-749.0,-20.122666666666667,15.0,6,31.462666666666667,200,4.6e-05,0.00022229599999999997,0.00152
0.9164589663696148,0.6794885968003703,0.949139397094197,-821.0,-19.634666666666668,15.0,6,30.068666666666665,200,4.6e-05,0.00020844133333333334,0.00155
0.8000359070051398,0.5633660207075786,0.6926311665323119,-821.0,-19.442,15.0,6,33.984,200,4.6e-05,0.000233252,0.00154
0.88882783781239,0.7227096625592464,0.8209645575282097,-749.0,-15.361333333333333,15.0,6,29.163333333333334,200,4.5e-05,0.00020142,0.001538
0.8832248922691486,0.7040745588337538,0.6221010236073661,-776.0,-16.559333333333335,15.0,6,30.275333333333332,200,4.6e-05,0.00020877933333333332,0.001541
0.8220771718116068,0.5693172688485985,0.7968096429872189,-749.0,-18.267333333333333,15.0,6,32.91733333333333,200,4.5e-05,0.00022546733333333335,0.001593
0.8693475234713951,0.11311984334973502,0.9854629499500798,-749.0,-109.26266666666666,15.0,6,91.87466666666667,200,4.7e-05,0.0006248,0.001525
0.9587882248282216,0.6122740545958981,0.6201141278402634,-839.0,-24.455333333333332,15.0,6,33.79933333333334,200,4.5e-05,0.00023389066666666667,0.001534
0.9164694562644831,0.7551565184030522,0.8494279881248333,-866.0,-15.5,15.0,6,28.574,200,4.6e-05,0.000198306,0.001548
0.8948483365310831,0.7290191698271409,0.895767700678183,-839.0,-16.425333333333334,15.0,6,28.971333333333334,200,4.5e-05,0.00020028999999999997,0.00154
0.8587226986948647,0.783910312784817,0.7809788628739521,-776.0,-13.752,15.0,6,27.978,200,4.5e-05,0.00019491866666666665,0.001559
0.8553398807184167,0.5055434922188774,0.7738219437368687,-839.0,-21.698666666666668,15.0,6,35.61866666666667,200,4.8e-05,0.00025554,0.001563
0.8194839834986988,0.7873493548383643,0.6642918085356937,-686.0,-13.685333333333332,15.0,6,28.235333333333333,200,4.6e-05,0.00019995466666666669,0.001596
0.8129889389248398,0.6471622844716485,0.6759604124121803,-803.0,-16.673333333333332,15.0,6,31.299333333333333,200,4.5e-05,0.00021707333333333335,0.001553
0.8231748770773082,0.7865352281903105,0.4998870915572491,-749.0,-14.078,15.0,6,28.67,200,4.5e-05,0.00019832133333333335,0.00154
0.8235636953219215,0.7856861971902355,0.4588972312188014,-767.0,-14.376666666666667,15.0,6,28.840666666666667,200,4.6e-05,0.00020008599999999998,0.001544
0.8560226961975184,0.7909848602111452,0.44074228417341127,-785.0,-14.7,15.0,6,28.994,200,4.6e-05,0.00020086800000000002,0.001557
0.8697931549013384,0.303843215829564,0.5654668147527333,-704.0,-40.260666666666665,15.0,6,53.474666666666664,200,4.6e-05,0.000365224,0.001434
0.8223179590689786,0.7962535567566128,0.4598356084060552,-785.0,-14.068,15.0,6,28.786,200,4.6e-05,0.00019918466666666668,0.001547
0.8187408101990098,0.7966746529081097,0.2556080943662076,-875.0,-15.660666666666666,15.0,6,30.21066666666667,200,4.6e-05,0.00020902066666666667,0.001567
0.8310255002103675,0.7289590097486977,0.4904737533861348,-794.0,-15.734,15.0,6,30.18,200,4.5e-05,0.00021408800000000003,0.001544
0.8522148478991185,0.6743398883683844,0.6351000275795685,-749.0,-16.486666666666668,15.0,6,30.782666666666668,200,4.7e-05,0.00022185466666666665,0.001703
0.8422426517411068,0.36619581794108147,0.4230952292572627,-848.0,-37.037333333333336,15.0,6,50.279333333333334,200,4.6e-05,0.0003435426666666667,0.001578
0.8000068332925843,0.7455340033061797,0.29289371860831837,-857.0,-17.115333333333332,15.0,6,31.435333333333332,200,4.5e-05,0.00021781399999999999,0.001538
0.826093927124153,0.6213307368373591,0.37806146639917704,-794.0,-20.546,15.0,6,34.752,200,4.5e-05,0.00023887533333333334,0.001566
0.8375542407843409,0.6920660478095696,0.5868050796372934,-758.0,-16.243333333333332,15.0,6,30.541333333333334,200,4.7e-05,0.00021574666666666667,0.001568
0.8639402692663088,0.45939746236626117,0.5130753134457525,-857.0,-27.374,15.0,6,40.884,200,4.6e-05,0.00028849200000000006,0.0016
0.845965112464681,0.5124400721140288,0.5224741405382376,-803.0,-24.163333333333334,15.0,6,37.861333333333334,200,4.6e-05,0.00026340666666666663,0.001592
0.818471052132879,0.7990602977346322,0.46478203713251365,-731.0,-14.139333333333333,15.0,6,28.647333333333332,200,4.6e-05,0.000199166,0.001545
