ID,SPEED,TRAVEL_TIME,DATA_AS_OF,LINK_ID,LINK_POINTS,BOROUGH,LINK_NAME
261,34.79,122,09/24/2024 09:04:11 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,32.31,132,09/24/2024 09:09:12 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,29.2,146,09/24/2024 09:14:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,35.41,121,09/24/2024 09:19:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,36.66,116,09/24/2024 09:24:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,40.38,106,09/24/2024 09:28:09 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,42.87,99,09/24/2024 09:34:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,45.36,94,09/24/2024 09:39:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,36.66,116,09/24/2024 09:44:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,35.41,119,09/24/2024 09:49:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,40.38,105,09/24/2024 09:54:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,33.55,128,09/24/2024 09:59:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,36.66,117,09/24/2024 10:04:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,27.96,153,09/24/2024 10:09:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,37.9,113,09/24/2024 10:14:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,50.33,85,09/24/2024 10:19:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
261,19.26,220,09/24/2024 10:24:10 AM,4616226,"40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151",Brooklyn,GOW S 7TH AVENUE - 92ND STREET
