ID,SPEED,TRAVEL_TIME,DATA_AS_OF,LINK_ID,LINK_POINTS,BOROUGH,LINK_NAME
170,39.14,96,09/24/2024 09:04:11 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,39.76,95,09/24/2024 09:09:12 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,39.76,94,09/24/2024 09:14:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,40.38,93,09/24/2024 09:19:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,39.14,96,09/24/2024 09:24:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.9,99,09/24/2024 09:29:11 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.28,101,09/24/2024 09:34:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,36.03,104,09/24/2024 09:39:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,36.03,103,09/24/2024 09:44:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.28,101,09/24/2024 09:49:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,38.52,97,09/24/2024 09:54:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.9,99,09/24/2024 09:59:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.9,99,09/24/2024 10:04:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,38.52,97,09/24/2024 10:09:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,23.61,158,09/24/2024 10:14:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,6.83,531,09/24/2024 10:19:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 10:24:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,3.1,1159,09/24/2024 10:29:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 10:34:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 10:39:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,39.76,94,09/24/2024 10:44:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,38.52,97,09/24/2024 10:49:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.9,98,09/24/2024 10:54:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 10:59:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 11:04:08 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,49.7,75,09/24/2024 11:09:12 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,49.7,75,09/24/2024 11:14:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 11:19:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 11:24:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,0,0,09/24/2024 11:28:09 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,39.14,96,09/24/2024 11:34:11 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,41.63,90,09/24/2024 11:39:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,45.36,83,09/24/2024 11:44:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,45.36,82,09/24/2024 11:49:11 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,44.11,85,09/24/2024 11:54:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,22.99,164,09/24/2024 11:59:10 AM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,29.2,127,09/24/2024 12:04:11 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.9,99,09/24/2024 12:09:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,47.84,78,09/24/2024 12:14:09 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,45.36,83,09/24/2024 12:19:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,42.87,87,09/24/2024 12:24:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,42.87,88,09/24/2024 12:29:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,43.49,87,09/24/2024 12:34:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,42.87,87,09/24/2024 12:39:11 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,40.38,93,09/24/2024 12:44:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,41.63,91,09/24/2024 12:49:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,41.01,91,09/24/2024 12:54:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,41.01,92,09/24/2024 12:58:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,42.25,89,09/24/2024 01:04:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,39.76,94,09/24/2024 01:09:11 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,41.63,91,09/24/2024 01:14:12 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,41.63,90,09/24/2024 01:19:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,34.17,110,09/24/2024 01:24:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.28,101,09/24/2024 01:29:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.9,98,09/24/2024 01:34:09 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,27.96,135,09/24/2024 01:39:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,24.23,154,09/24/2024 01:44:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,21.12,178,09/24/2024 01:49:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,26.09,144,09/24/2024 01:54:09 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,37.28,101,09/24/2024 01:59:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,36.66,102,09/24/2024 02:04:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,20.5,183,09/24/2024 02:09:11 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,24.23,153,09/24/2024 02:14:09 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,42.87,88,09/24/2024 02:19:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,44.11,86,09/24/2024 02:24:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,26.09,143,09/24/2024 02:29:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,42.25,88,09/24/2024 02:34:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,35.41,106,09/24/2024 02:39:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,38.52,97,09/24/2024 02:44:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,28.58,132,09/24/2024 02:49:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,28.58,130,09/24/2024 02:54:09 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,24.23,154,09/24/2024 02:59:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
170,21.12,176,09/24/2024 03:04:10 PM,4616356,"40.6665206,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.772861 40.66749,-73.775591 40.66722,-73.78108 40.66673,-73.786471",Queens,Belt Pkwy W 182nd St - JFK Expressway
