ID,SPEED,TRAVEL_TIME,DATA_AS_OF,LINK_ID,LINK_POINTS,BOROUGH,LINK_NAME
381,45.98,34,09/24/2024 12:04:11 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,45.98,34,09/24/2024 12:09:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,44.11,36,09/24/2024 12:14:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,44.73,35,09/24/2024 12:19:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,47.84,33,09/24/2024 12:24:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,44.11,36,09/24/2024 12:29:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,48.46,33,09/24/2024 12:34:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,42.87,37,09/24/2024 12:39:11 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,48.46,33,09/24/2024 12:44:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,50.95,31,09/24/2024 12:49:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,47.84,33,09/24/2024 12:54:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,50.33,32,09/24/2024 12:58:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,50.33,32,09/24/2024 01:04:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,46.6,34,09/24/2024 01:09:11 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,43.49,36,09/24/2024 01:14:12 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,40.38,40,09/24/2024 01:19:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,46.6,34,09/24/2024 01:24:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,42.25,37,09/24/2024 01:29:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,45.98,34,09/24/2024 01:34:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,41.01,39,09/24/2024 01:39:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,45.36,35,09/24/2024 01:44:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,46.6,34,09/24/2024 01:49:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,40.38,39,09/24/2024 01:54:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,45.36,35,09/24/2024 01:59:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,50.33,31,09/24/2024 02:04:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,46.6,34,09/24/2024 02:09:11 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,37.9,42,09/24/2024 02:14:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,31.68,50,09/24/2024 02:19:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,30.44,52,09/24/2024 02:24:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,26.09,62,09/24/2024 02:29:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,26.09,60,09/24/2024 02:34:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,26.71,59,09/24/2024 02:39:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,27.96,57,09/24/2024 02:44:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,29.2,55,09/24/2024 02:49:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,29.82,53,09/24/2024 02:54:09 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,29.82,53,09/24/2024 02:59:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
381,28.58,55,09/24/2024 03:04:10 PM,4616194,"40.608031,-74.13212 40.60759,-74.1409",Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
